t,elapsed_ns,count,checksum
783835643,19076209,870805,1274978141013
2017598100,19151709,949550,4477419823596
2716665329,19230125,949611,6318555517798
406567300,19037458,670406,449038814503
1301368166,19061958,939845,2592237711001
514565078,19137334,752309,662938241741
3295050409,19214916,945629,7810952991018
3115751242,19162875,948449,7362849195803
2013746660,19143542,949559,4467046941357
1244143191,19059708,936877,2443355205702
1326724813,19105916,940934,2658150042835
2999020367,19140459,949180,7059679759367
2834201224,19183708,949599,6628442564070
3267925366,19149792,946162,7744200107728
497047378,19021791,740762,626649957517
549239547,19217166,773650,736595963441
3115251191,19277500,948472,7361714188242
3528455838,19081833,928270,8267657771369
3461112521,19135750,937105,8171757516421
796305862,19085333,874218,1305170286637
2458756298,19107125,949575,5637533891000
1768942506,19101375,949041,3820911904577
3574089999,19090167,916388,8274660751553
3411606633,19131625,940972,8076420743809
665308785,19085417,830266,994967220748
1412078236,19150250,943876,2881868522352
3059647286,19104916,948742,7217420500389
638315605,19070583,818948,933507989517
2362515745,19582666,950037,5386898552471
255274710,19161666,503353,199486407904
3171043002,19236042,947844,7503226075400
891339078,19140750,896607,1539733080210
2799065577,19171291,949479,6533808231522
2214254107,19143750,949755,4994883476415
448408579,19143958,705121,528960701339
1607788133,19170375,947334,3394477322183
818802222,19161000,880243,1360284095730
1736161353,19158791,948639,3733269923480
2798498937,19187500,949481,6532318396080
1631204031,19202709,947420,3455662654164
970761530,19889916,910405,1740080806600
681005770,11686875,836584,1031446534037
3057873583,11329208,948781,7213129570013
1834987314,11395125,949527,3996829391316
2452658314,11396750,949615,5621654642743
3066656060,11443959,948604,7235079896464
2521468771,11507375,949953,5805483225113
2596558223,11476417,949818,6002972833848
