t,elapsed_ns,count,checksum
3264565529,8485000,946229,7736035354977
382646445,8447625,648711,405067864962
2486541216,8426916,949799,5711963464517
1166434136,8424833,931744,2241896127300
1718772092,8405916,948503,3687541545296
3505386877,8394333,932140,8243293025048
591580946,8474167,796687,828565484006
1142140922,8531167,929859,2178914878196
1796093384,8445792,949273,3893283545629
303453705,8485791,564164,270961724168
151979701,8373125,341054,77148094357
3540043586,8473750,925907,8275613447428
1921507079,8393292,949609,4224049575579
3149641602,8408166,948013,7447820316059
1381121985,8417791,943005,2801099053734
1246169167,8390417,937032,2448746181941
3256486157,8403959,946517,7717171281729
1609482065,8488666,947307,3398793350069
2118119592,8411208,949509,4741791751044
3276945172,8468250,945982,7766396362055
2103742373,8402792,949627,4704783316146
2605402727,8451083,949804,6026547110635
1899256328,8542750,949669,4166061996636
1037797263,8466167,919411,1910508662929
569963295,8395959,785255,781164395262
1218583082,8440292,935306,2377100315909
2940117688,8415083,949306,6905246886631
1298960068,8401500,939738,2586039810557
1919832691,8412833,949619,4219804545588
2739109521,8473666,949698,6378308284899
3105009256,8503166,948487,7334768379146
2634058066,8470084,949716,6101353618439
3053371998,8560125,948910,7202033674547
3508373444,8463000,931672,8246644287765
1696205449,8566583,948242,3627881898791
3443086307,8389250,938599,8137876040680
2434747006,8480375,949715,5575783620923
1365261852,8443875,942474,2759461648239
2822233883,8410750,949499,6595680231210
2586275729,8434291,949936,5976678926763
3060175400,8412208,948725,7218645571041
803247430,8386875,876077,1322043365357
1262867663,8418458,937914,2492051030116
1844788559,8572375,949499,4022406662113
1540261831,8258958,946306,3217127884267
378415036,8402666,644614,397434190774
937500296,8490459,905077,1655231446226
3491558410,8519916,934091,8224714382009
2750457403,8676500,949607,6407579559634
579735153,8929459,790399,802430374304
3252073786,8430333,946572,7705917148050
3000070946,8865125,949187,7062430289914
3562120620,8425000,920370,8281082774726
1220210470,8435708,935421,2381301755202
1929956053,8535792,949611,4246806178853
2078064966,8445417,949593,4636928960729
1398264658,8437459,943593,2846172158224
3215750146,8418625,947177,7615057403010
3314184393,8463375,945044,7855976150543
3041459328,8492083,948825,7169701680974
3011302733,8636000,949014,7090831308561
3103422335,8594292,948479,7330602710987
3172231609,8528666,947791,7505875535249
1790367500,8909542,949166,3877825743805
1522706372,10218750,946133,3171605581097
1371810725,8874125,942763,2776826363426
1659458903,8603333,947823,3530536662793
680479056,8409833,836363,1030183171095
2480056494,8441625,949696,5694196252328
2573614069,8441125,949933,5942898756441
633679204,8667417,816827,922988521999
1633805504,8232208,947492,3462846610702
2947384613,8496791,949340,6924872438753
783835643,8582791,870805,1274978141013
2017598100,8582375,949550,4477419823596
2716665329,8456792,949611,6318555517798
406567300,8455208,670406,449038814503
1301368166,8424584,939845,2592237711001
514565078,8479875,752309,662938241741
3295050409,8406792,945629,7810952991018
3115751242,8407875,948449,7362849195803
2013746660,8422417,949559,4467046941357
1244143191,8467834,936877,2443355205702
1326724813,8424208,940934,2658150042835
2999020367,8458666,949180,7059679759367
2834201224,8422041,949599,6628442564070
3267925366,8440000,946162,7744200107728
497047378,8472708,740762,626649957517
549239547,8432292,773650,736595963441
3115251191,8444083,948472,7361714188242
3528455838,8717250,928270,8267657771369
3461112521,8988208,937105,8171757516421
796305862,8901750,874218,1305170286637
2458756298,9040208,949575,5637533891000
1768942506,8437667,949041,3820911904577
3574089999,8486458,916388,8274660751553
3411606633,8433958,940972,8076420743809
665308785,8450375,830266,994967220748
1412078236,8468417,943876,2881868522352
3059647286,8447458,948742,7217420500389
638315605,8475083,818948,933507989517
2362515745,8422542,950037,5386898552471
255274710,8475417,503353,199486407904
3171043002,8435584,947844,7503226075400
891339078,8447417,896607,1539733080210
2799065577,8468959,949479,6533808231522
2214254107,8462500,949755,4994883476415
448408579,8465833,705121,528960701339
1607788133,8433500,947334,3394477322183
818802222,8490625,880243,1360284095730
1736161353,8468125,948639,3733269923480
2798498937,8443875,949481,6532318396080
1631204031,8395750,947420,3455662654164
970761530,8490625,910405,1740080806600
681005770,8416625,836584,1031446534037
3057873583,8611375,948781,7213129570013
1834987314,8296875,949527,3996829391316
2452658314,8732708,949615,5621654642743
3066656060,8405333,948604,7235079896464
2521468771,8371792,949953,5805483225113
2596558223,8479125,949818,6002972833848
